Ocean,Group,Species,LatinName,CommonName,RFMO,SpStock,Evaluation,Recent catch,5yearcatch,max catch,MSY,FinalWeights,Source,WeightBy,NOTES,Status_F,Status_B,Bratio,Fratio,Last_assessment_year,Notes,Fstatus,FisheryStatus,ThreatIUCN,IUCN notes
Pacific,Billfishes,MLS,Kajikia audax,Striped marlin,WCPFC,MLS South West Pacific,Assessed,,,,2039,2039,WCPFC assessment,MSY,,close to undergoing overfishing,likely overfished,0.737,0.911,2017,,Not overfishing,Overfished,Least Concern,100%LC
Indian,Tunas,SKJ,Katsuwonus pelamis,Skipjack tuna,IOTC,SKJ Indian,Assessed,,,,510100,510100,IOTC assessment,MSY,,No,No,1,0.92,2016,,Not overfishing,Not overfished,Least Concern,"11% VU, 89% LC"
Atlantic,Tunas,YFT,Thunnus albacares,Yellowfin tuna,ICCAT,YFT Atlantic,Assessed,,,,121298,121298,ICCAT assessment,MSY,,No,No,1.17,0.96,2018,,Not overfishing,Not overfished,Least Concern,100%LC
Indian,Billfishes,BLM,Makaira indica,Black marlin,IOTC,BLM Indian,Assessed,,,,12930,1,IOTC assessment,SingleStock,,"undetermined,uncertain","undetermined,uncertain",1.68,0.96,2017,,Not overfishing,Undetermined,Least Concern,LC 100%
Atlantic,Billfishes,SWO,Xiphias gladius,Swordfish,ICCAT,SWO South Atlantic,Assessed,,,,14570,14570,ICCAT assessment,MSY,,NO,Yes,0.72,0.98,2015,,Not overfishing,Overfished,Vulnerable,"EN 9%, 49%VU, 42%LC"
Pacific,Tunas,PBF,Thunnus orientalis,Pacific bluefintuna,WCFPC-IATTC,PBF Pacific,Assessed,10,13,,NA,1,ISC assessment,SingleStock,,Overfishing,Overfished,0.166687708,1.02,2016,,Overfishing,Overfished,Least Concern,"EN 5%, VU 7%, 87% LC"
Atlantic,Billfishes,BUM,Makaira nigricans,Blue marlin,ICCAT,BUM Atlantic,Assessed,,,,3056,3056,ICCAT assessment,MSY,,Yes,Yes,0.69,1.03,2016,,Overfishing,Overfished,Least Concern,"63%LC,9%VU,10% EN, 18%CR"
Pacific,Tunas,BET,Thunnus obesus,Bigeye tuna,IATTC,BET Eastern Pacific,Assessed,,,,95490,95490,IATTC assessment,MSY,,not overfished,overfishing might be ocurring,1.08737,1.12873,2017,,Overfishing,Not overfished,Least Concern,EN 3% VU 15% LC 82%
Indian,Billfishes,BUM,Makaira nigricans,Blue marlin,IOTC,BUM Indian,Assessed,,,,11930,11930,IOTC assessment,MSY,,Yes,No,1.11,1.18,2015,,Overfishing,Not overfished,Least Concern,"VU 7%, LC 92%"
Atlantic,Sharks,BSH,Prionace glauca,Blue shark,ICCAT,BSH South Atlantic,Assessed,34309,27349,32583.66667,34309,34309,ICCAT assessment,MaxCatch,,Undetermined,Undetermined,1.405,1.2,2013,,Overfishing,Undetermined,Least Concern,100%LC
Indian,Tunas,BET,Thunnus obesus,Bigeye tuna,IOTC,BET Indian,Assessed,,,,87000,87000,IOTC assessment,MSY,,yes,no,1.22,1.2,2018,,Overfishing,Not overfished,Vulnerable,VU 77% 23%LC
Indian,Tunas,YFT,Thunnus albacares,Yellowfin tuna,IOTC,YFT Indian,Assessed,,,,403000,403000,IOTC assessment,MSY,,Yes,Yes,0.83,1.2,2017,,Overfishing,Overfished,Least Concern,"3% VU, 97% LC"
Indian,Billfishes,SAI,Istiophorus platypterus,Sailfish,IOTC,SAI Indian,Assessed,,,,23900,23900,IOTC assessment,MSY,,"undetermined,uncertain","undetermined,uncertain",1.14,1.22,2017,,Overfishing,Undetermined,Least Concern,LC 100%
Pacific,Tunas,YFT,Thunnus albacares,Yellowfin tuna,IATTC,YFT Eastern Pacific,Assessed,,,,254974,254974,IATTC assessment,MSY,,Yes,Yes,0.9329,1.26737,2018,,Overfishing,Overfished,Least Concern,"CR 1%. EN 10%, VU 15%, LC 74%"
Pacific,Billfishes,MLS,Kajikia audax,Striped marlin,WCFPC-IATTC,MLS Western and Central North Pacific,Assessed,,,,4946,4946,ISC assessment,MSY,,Overfishing,Overfished,0.376728111,1.333333333,2017,,Overfishing,Overfished,Least Concern,"4% EN, 8% VU, 87%LC"
Atlantic,Billfishes,SAI,Istiophorus platypterus,Sailfish,ICCAT,SAI East Atlantic,Assessed,,,,1896,1896,ICCAT assessment,MSY,,Possibly,yes,0.46,1.59,2014,,Overfishing,Overfished,Vulnerable,"EN 2%, VU 98% 0% LC"
Atlantic,Tunas,BET,Thunnus obesus,Bigeye tuna,ICCAT,BET Atlantic,Assessed,,,,76232,76232,ICCAT assessment,MSY,,yes,yes,0.59,1.63,2017,,Overfishing,Overfished,Vulnerable,"92.9%VU, 0.71%EN"
Atlantic,Sharks,POR,Lamna nasus,Porbeagle shark,ICCAT,POR Northeast Atlantic,Assessed,0.287,,,NA,1,ICCAT assessment,Unity,"Very little information. So we decided to give a weight of 1 to each of them. In the ICCAT data set, only landings in N atlantic and S atlantic, not by quarter.",No,Yes,1.01,1.745,2008,"Very little information. So we decided to give a weight of 1 to each of them. In the ICCAT data set, only landings in N atlantic and S atlantic, not by quarter.",Overfishing,Overfished,Vulnerable,"2%LC, 74%VU, 24%EN"
Indian,Billfishes,MLS,Kajikia audax,Striped marlin,IOTC,MLS Indian,Assessed,,,,3082,3082,IOTC assessment,MSY,,Overfishing,Overfished,0.33,1.99,2017,,Overfishing,Overfished,Least Concern,"EN 5%, VU 24%, LC 71%"
Atlantic,Billfishes,SWO,Xiphias gladius,Swordfish,ICCAT,SWO Mediterranean,Assessed,,,,19683,19683,ICCAT assessment,MSY,,yes,yes,0.12,2.245,2015,,Overfishing,Overfished,Least Concern,"EN 5%,VU 12%, LC 82%"
Atlantic,Sharks,SMA,Isurus oxyrinchus,Shortfin mako,ICCAT,SMA South Atlantic,Assessed,3158,,3800,3800,3800,ICCAT assessment,MaxCatch,,Possibly,Possibly,1.2,2.265,2015,,Overfishing,Not overfished,Least Concern,100%LC
Atlantic,Sharks,SMA,Isurus oxyrinchus,Shortfin mako,ICCAT,SMA North Atlantic,Assessed,2388,,5100,5100,5100,ICCAT assessment,MaxCatch,,Yes,Yes,0.76,3.155,2015,,Overfishing,Overfished,Vulnerable,"53%VU, 47%LC"
Pacific,Sharks,OCS,Carcharhinus longimanus,Oceanic whitetip,WCPFC,OCS Western Pacific,Assessed,,,,5790,1,WCPFC assessment,SingleStock,,Overfishing,Overfished,0.09,3.92,2016,,Overfishing,Overfished,Critically Endangered,100% CR
Pacific,Sharks,FAL,Carcharhinus falciformis,Silky shark,WCPFC,FAL Western Pacific,Assessed,,,,1994,1,WCPFC assessment,SingleStock,,Overfishing,likey overfished,0.704,4.47,2010,,Overfishing,Overfished,Endangered,"CR 0.5%, EN 83%, VU 16%, 0.5 EN"
Atlantic,Sharks,POR,Lamna nasus,Porbeagle shark,ICCAT,POR Southwest Atlantic,Assessed,0.164,,,NA,1,ICCAT assessment,Unity,Very little information. So we decided to give a weight of 1 to each of them.,"Undetermined (Given the uncertainty in stock status, the Committee cannot make a determination but cautions that overfishing may have occurred in recent years.)",Yes,0.57,5.545,2008,Very little information. So we decided to give a weight of 1 to each of them.,Overfishing,Overfished,Endangered,"CR 1%, EN 89%, VU 8%, LC 1%"
Atlantic,Tunas,ALB,Thunnus alalunga,Albacore tuna,ICCAT,ALB Mediterranean,Assessed,,,,3419,3419,ICCAT assessment,MSY,,No,No,1.002,NA,2015,,Not overfishing,Not overfished,Least Concern,"69% LC, 30% VU, 1%EN"
Pacific,Billfishes,SAI,Istiophorus platypterus,Sailfish,IATTC,SAI Eastern Pacific,Assessed,,,5,NA,5,IATTC assessment,MaxCatch,,NO,NO,NA,NA,2012,,Not overfishing,Not overfished,Least Concern,"EN 2%, 11% VU, 86% LC"
